place, horse_no, horse_name, horse_id, jockey, trainer, actual_weight, declared_weight, draw, length_behind_winner, finish_time, win_odds, running_position_1, running_position_2, running_position_3, running_position_4, running_position_5, running_position_6
4,6,PLANET RULER,CB35,O Doleuze,A Lee,126,1158,6,2-1/4,0.56.90,33,5,NA,NA,NA,NA,NA
5,3,DOWN TOWN,G054,C Soumillon,C H Yip,126,1128,5,2-1/2,0.56.90,13,8,NA,NA,NA,NA,NA
6,8,NATURAL BLITZ,E227,M Nunes,D Cruz,126,1096,3,4-1/4,0.57.20,37,NA,NA,NA,NA,NA,NA
7,4,EGYPTIAN RA,E002,E Saint-Martin,D J Hall,126,1186,1,4-3/4,0.57.30,32,3,NA,NA,NA,NA,NA
8,7,REGENCY HORSE,E229,F Coetzee,D E Ferraris,126,1084,7,6-3/4,0.57.60,74,NA,NA,NA,NA,NA,NA
1,10,REAL SPECIAL,H320,F Coetzee,J Size,117,1039,11,-,1.48.50,3.3,2,NA,NA,NA,NA,NA
2,1,DANESIS,H194,B Prebble,A S Cruz,129,1283,6,1/2,1.48.60,3,5,NA,NA,NA,NA,NA
3,4,FLORAL NIRVANA,H232,K L Chui,A S Cruz,122,1137,5,2-1/4,1.48.90,7,7,NA,NA,NA,NA,NA
4,3,MASTERY,CC17,G Mosse,P F Yiu,128,1110,1,2-1/2,1.48.90,9.8,NA,NA,NA,NA,NA,NA
5,11,THE GOODIES,H097,H W Lai,C Fownes,113,1021,2,2-3/4,1.49.00,41,11,NA,NA,NA,NA,NA
6,2,HIGH INTELLIGENT,CD31,O Doleuze,A T Millard,129,1146,4,3-3/4,1.49.10,12,1,NA,NA,NA,NA,NA
7,9,NASA PEARL,CC06,K T Yeung,P O'Sullivan,111,1131,3,4-3/4,1.49.30,34,6,NA,NA,NA,NA,NA
8,7,FANTASTIC GUY,H025,G Boss,D Cruz,121,1106,7,6,1.49.50,7.9,9,NA,NA,NA,NA,NA
9,6,SIR LAGO,H268,C Soumillon,D E Ferraris,125,1127,8,6-3/4,1.49.60,32,10,NA,NA,NA,NA,NA
10,5,COURAGEOUSHEART,CD20,D Beadman,J Moore,125,1150,9,8-1/2,1.49.90,41,3,NA,NA,NA,NA,NA
11,8,KING HOGAN,E257,E Saint-Martin,K W Lui,120,1228,10,14-1/4,1.50.80,54,4,NA,NA,NA,NA,NA
1,11,SUPER TRAVELLER,H275,Z Purton,A Schutz,117,1208,6,-,1.21.60,12,6,NA,NA,NA,NA,NA
2,14,KINDACROSS,G041,P H Lo,A S Cruz,109,1044,12,1-1/4,1.21.70,28,1,NA,NA,NA,NA,NA
3,9,IMPERIAL APPLAUSE,G209,E Saint-Martin,P O'Sullivan,123,1057,5,1-3/4,1.21.90,5.3,9,NA,NA,NA,NA,NA
4,7,REGENCY DRAGON,H001,C Soumillon,D E Ferraris,124,1198,10,2-1/2,1.22.00,6.8,7,NA,NA,NA,NA,NA
5,2,SANZIRO,E208,G Boss,C Fownes,133,1159,7,3-1/4,1.22.10,18,13,NA,NA,NA,NA,NA
6,10,HE CAN TANGO,G288,O Doleuze,P O'Sullivan,119,1179,9,3-1/2,1.22.10,6.9,11,NA,NA,NA,NA,NA
7,12,WEI HAI INVINCIBLE,H258,M Nunes,A T Millard,114,1106,3,3-3/4,1.22.10,6.4,3,NA,NA,NA,NA,NA
8,1,HELENE BRILLIANT,H174,K L Chui,A S Cruz,128,1161,4,4-1/2,1.22.30,5.1,8,NA,NA,NA,NA,NA
9,8,WHATABOB,CD21,D Beadman,J Moore,124,1182,11,5,1.22.40,37,10,NA,NA,NA,NA,NA
10,5,HELENE PILLAGING,CC08,K T Yeung,S Woods,119,1207,2,5-1/2,1.22.40,99,NA,NA,NA,NA,NA,NA
11,3,FIFTY FIFTY,CD13,F Coetzee,C Fownes,129,1152,14,8,1.22.80,25,2,NA,NA,NA,NA,NA
12,4,SKYVIEW BAR,G024,G Mosse,A Lee,127,1193,8,8-1/4,1.22.90,9.5,4,NA,NA,NA,NA,NA
13,13,WIN AGAIN,CD37,H W Lai,J Moore,110,1227,13,13,1.23.60,66,14,NA,NA,NA,NA,NA
14,6,NILOMETER,CD05,W M Lai,C S Shum,124,1087,1,19-3/4,1.24.70,56,12,NA,NA,NA,NA,NA
1,1,GALEN WIN,J065,B Prebble,D J Hall,133,1084,9,-,1.22.30,5.3,2,NA,NA,NA,NA,NA
2,3,CONGRATULATION,H032,F Coetzee,J Size,127,1130,1,1/2,1.22.40,4.3,NA,NA,NA,NA,NA,NA
3,7,SUPER CHARGE,CC29,G Mosse,A Lee,121,1196,7,1-1/4,1.22.50,20,6,NA,NA,NA,NA,NA
4,10,SPARKLING STAR,CD05,H W Lai,Y S Tsui,114,1141,10,1-1/2,1.22.60,11,12,NA,NA,NA,NA,NA
5,2,BULLISH WIN,H197,C Soumillon,A S Cruz,131,1137,12,1-3/4,1.22.60,5.9,10,NA,NA,NA,NA,NA
6,12,SUPER GENKI,H195,K L Chui,A S Cruz,111,1159,3,2-3/4,1.22.80,3.4,9,NA,NA,NA,NA,NA
7,11,AMBITIOUS OWNER,J106,G Boss,C S Shum,117,1008,6,4,1.23.00,79,8,NA,NA,NA,NA,NA
8,5,SUPER SNIPPETS,G217,O Doleuze,P O'Sullivan,124,1111,13,4-1/4,1.23.00,9.9,13,NA,NA,NA,NA,NA
9,4,TOP TOP LIGHT,G182,Z Purton,C Fownes,127,1173,4,4-3/4,1.23.10,33,5,NA,NA,NA,NA,NA
10,8,EVERGREEN,E106,W M Lai,C H Yip,117,1207,11,6-1/2,1.23.30,99,11,NA,NA,NA,NA,NA
11,6,CONFUCIUS CLASSIC,J141,E Saint-Martin,S Woods,123,1045,5,10,1.23.90,99,4,NA,NA,NA,NA,NA
12,13,LADY FIRST,J067,P H Lo,T W Leung,109,1053,2,10-3/4,1.24.00,99,3,NA,NA,NA,NA,NA
13,9,KING OF TURF,J102,D Beadman,A Lee,120,1056,8,10-3/4,1.24.00,38,6,NA,NA,NA,NA,NA
1,1,FLORAL JOY II,J030,K L Chui,A S Cruz,128,1216,13,-,0.58.90,1.7,NA,NA,NA,NA,NA,NA
2,4,CHEEKY LAD,G198,O Doleuze,D J Hall,126,1122,11,1-1/4,0.59.10,17,11,NA,NA,NA,NA,NA
3,9,LUCKY RED,J059,F Coetzee,T K Ng,125,1109,6,1-1/2,0.59.10,18,1,NA,NA,NA,NA,NA
4,6,GLENEALY ELITE,J034,G Boss,C H Yip,125,1040,12,2-1/4,0.59.30,26,13,NA,NA,NA,NA,NA
5,3,OWNERS LAD,G273,C Soumillon,C S Shum,129,1216,8,2-3/4,0.59.30,18,6,NA,NA,NA,NA,NA
6,8,HAPPEE GIFT,H313,B Prebble,P O'Sullivan,125,1100,14,3-3/4,0.59.50,8.6,9,NA,NA,NA,NA,NA
7,12,CLASSIC HORSE,CD37,H W Lai,T W Leung,113,1096,4,6,0.59.90,19,5,NA,NA,NA,NA,NA
8,11,NEWSWIRE TOO,J040,G Mosse,A Lee,125,1059,10,8-1/2,1.00.30,80,3,NA,NA,NA,NA,NA
9,10,MR WUNDERBAR,J068,Z Purton,K W Lui,125,1095,5,12-1/4,1.00.90,99,NA,NA,NA,NA,NA,NA
10,14,GENERAL KINGY,CB03,S K Sit,Y S Tsui,113,1222,3,12-3/4,1.01.00,54,4,NA,NA,NA,NA,NA
11,13,MAGIC KING,H182,C W Wong,A Schutz,111,1030,1,13-3/4,1.01.10,19,14,NA,NA,NA,NA,NA
12,5,ALIVE AND KICKING,J071,D Beadman,J Moore,125,1033,7,17-1/4,1.01.70,50,7,NA,NA,NA,NA,NA
13,2,BLUE SAINT,J080,P H Lo,L Ho,123,1053,2,18,1.01.80,95,10,NA,NA,NA,NA,NA
14,7,GLORIOUS FEELING,J129,E Saint-Martin,D E Ferraris,125,1182,9,25,1.02.90,6.6,NA,NA,NA,NA,NA,NA
1,10,FISHKING EXCELLENT,G232,G Boss,P F Yiu,123,1061,7,-,1.51.90,10,2,NA,NA,NA,NA,NA
2,2,LAZY BUDDIES,CC20,B Prebble,A Lee,133,1163,8,1/2,1.51.90,8.1,7,NA,NA,NA,NA,NA
3,9,CAPTAIN BUNNY,CD36,C Soumillon,Y O Wong,124,1022,11,1-3/4,1.52.10,5.8,NA,NA,NA,NA,NA,NA
4,3,PACIFIC ALLIANCE,CC23,S K Sit,S Woods,129,1136,13,2-1/4,1.52.20,23,8,NA,NA,NA,NA,NA
5,4,TALE OF FRIENDSHIP,H184,G Mosse,Y S Tsui,131,1086,14,4,1.52.50,15,11,NA,NA,NA,NA,NA
6,6,AS YOU WISH,E290,A Delpech,B K Ng,128,1069,12,5,1.52.70,11,12,NA,NA,NA,NA,NA
7,8,RED FORTUNE,E192,K L Chui,A Schutz,120,1013,5,5-1/4,1.52.70,7.7,NA,NA,NA,NA,NA,NA
8,1,KEEP SMILING,H200,D Beadman,J Moore,133,1176,4,7-1/4,1.53.00,35,NA,NA,NA,NA,NA,NA
9,12,SINOSPIEL,G003,O Doleuze,D E Ferraris,121,1014,6,9-3/4,1.53.40,11,3,NA,NA,NA,NA,NA
10,11,VITALITY CHAMP,CD30,Z Purton,T K Ng,122,1161,3,10-1/4,1.53.50,13,4,NA,NA,NA,NA,NA
11,14,DANZIGMOUNTAIN,G139,Y T Cheng,C S Shum,115,1023,2,10-3/4,1.53.60,31,10,NA,NA,NA,NA,NA
12,13,FLYING PROFILE,CD16,E Saint-Martin,D Cruz,120,1086,9,10-3/4,1.53.60,7.8,NA,NA,NA,NA,NA,NA
13,7,SUPER POWER,H117,F Coetzee,C W Chang,127,1098,1,11-1/4,1.53.60,7.2,6,NA,NA,NA,NA,NA
14,5,SUN AWESOME,G082,K T Yeung,T W Leung,122,1064,10,ML,---,99,NA,NA,NA,NA,NA,NA
1,11,MAGIC TOUCH,CB39,H W Lai,L Ho,112,1138,3,-,1.52.00,17,7,NA,NA,NA,NA,NA
2,6,PRIME TARGET,H242,G Boss,C Fownes,119,1029,8,N,1.52.00,7,5,NA,NA,NA,NA,NA
3,1,BOLD WIN,E282,B Prebble,D J Hall,133,1091,4,3/4,1.52.10,9.6,NA,NA,NA,NA,NA,NA
4,8,KING HESPERUS,E151,Z Purton,D E Ferraris,118,1142,2,1-1/4,1.52.20,10,NA,NA,NA,NA,NA,NA
5,9,SEA TREASURE,CD33,D Beadman,J Moore,118,1132,6,3-1/4,1.52.50,2.9,9,NA,NA,NA,NA,NA
6,3,WADADELIGHT,CC34,O Doleuze,T K Ng,127,1053,9,5,1.52.80,9.4,8,NA,NA,NA,NA,NA
7,5,LONDON EXPRESS,H107,K L Chui,A Schutz,119,1107,10,6-3/4,1.53.10,98,11,NA,NA,NA,NA,NA
8,4,INDUSTRIAL EXPRESS,H103,F Coetzee,J Size,124,1113,11,6-3/4,1.53.10,8,3,NA,NA,NA,NA,NA
9,7,EVERGREEN,E106,Y T Cheng,C H Yip,116,1202,1,7,1.53.10,61,9,NA,NA,NA,NA,NA
10,10,LIGHTNING SPEED,G263,A Delpech,P O'Sullivan,115,1047,7,7,1.53.10,7.1,6,NA,NA,NA,NA,NA
11,2,INDUSTRIAL MARVEL,G188,C W Wong,C H Yip,128,1058,5,10-1/4,1.53.60,12,1,NA,NA,NA,NA,NA
1,9,GREAT HERO,H016,B Prebble,K L Man,121,1120,4,-,1.40.70,3.6,2,NA,NA,NA,NA,NA
2,8,CHATER DE LAGO,G246,Z Purton,D E Ferraris,121,1195,6,5-1/2,1.41.50,42,7,NA,NA,NA,NA,NA
3,13,NIGHT HUNTER III,H102,H W Lai,T W Leung,112,1196,11,6-1/4,1.41.70,31,11,NA,NA,NA,NA,NA
4,11,MEGA BULLET,H192,G Boss,C Fownes,118,1075,12,7-1/2,1.41.90,15,13,NA,NA,NA,NA,NA
5,1,SOUNDS FANTASTIC,H146,Y T Cheng,A T Millard,130,1052,14,9,1.42.10,12,14,NA,NA,NA,NA,NA
6,12,GOLD GEM,G197,E Wilson,J Moore,115,1044,3,9-1/4,1.42.10,7.2,NA,NA,NA,NA,NA,NA
7,3,JOY TRUMPS,CD24,C Soumillon,Y O Wong,129,1101,8,9-1/4,1.42.10,10,10,NA,NA,NA,NA,NA
8,14,LUCKY WORLD,J053,C W Wong,C H Yip,109,1152,5,12-1/4,1.42.60,57,NA,NA,NA,NA,NA,NA
9,7,ACTIVE VALOUR,G045,M W Leung,B K Ng,116,1055,2,12-1/4,1.42.60,12,3,NA,NA,NA,NA,NA
10,6,EASY GAME,CC34,A Delpech,P O'Sullivan,125,1102,1,12-3/4,1.42.70,40,9,NA,NA,NA,NA,NA
11,2,JOYFUL YEARS,G143,G Mosse,L Ho,131,1166,9,16-1/4,1.43.30,4.5,6,NA,NA,NA,NA,NA
12,4,CLASSIC KING,CD25,O Doleuze,T K Ng,128,1134,10,17-1/4,1.43.40,19,11,NA,NA,NA,NA,NA
13,10,FREEBIRD,CC31,E Saint-Martin,D Cruz,120,1101,7,30-1/4,1.45.50,20,4,NA,NA,NA,NA,NA
14,5,BLISS STAR,E311,K L Chui,D J Hall,122,1233,13,ML,---,17,8,NA,NA,NA,NA,NA
1,1,SILVER WRAITH,E178,H W Lai,Y S Tsui,127,1013,14,-,1.25.10,16,NA,NA,NA,NA,NA,NA
2,12,SIMPLY THE BEST,E014,P H Lo,D Cruz,111,1125,1,1-1/2,1.25.30,43,4,NA,NA,NA,NA,NA
3,6,RAMPANT LION,H068,D Beadman,C Fownes,124,1016,5,2-1/4,1.25.40,5.7,NA,NA,NA,NA,NA,NA
4,7,SUPER,CD03,A Delpech,C W Chang,123,1118,7,2-1/2,1.25.40,6.8,13,NA,NA,NA,NA,NA
5,10,LIGHTNING MOUNT,H082,K L Chui,A S Cruz,115,1085,3,3-1/4,1.25.60,7.6,7,NA,NA,NA,NA,NA
6,11,MULTI-WIN SPIRIT,G137,F Coetzee,K W Lui,119,1232,2,3-3/4,1.25.60,4,5,NA,NA,NA,NA,NA
7,4,WATCHMAN,CB32,Z Purton,B K Ng,129,1109,12,4-3/4,1.25.80,47,NA,NA,NA,NA,NA,NA
8,8,FRAMES DEPOT,G118,O Doleuze,T K Ng,121,1079,13,5,1.25.80,12,3,NA,NA,NA,NA,NA
9,9,RISING WIN,CC08,M W Leung,T W Leung,116,1101,4,5-1/4,1.25.90,16,12,NA,NA,NA,NA,NA
10,14,DOUBLE FANTASY,G141,S K Sit,D E Ferraris,111,1098,6,5-1/2,1.25.90,17,5,NA,NA,NA,NA,NA
11,2,DIAGHILEV,H241,C Soumillon,A Schutz,129,1086,9,8-1/2,1.26.40,22,10,NA,NA,NA,NA,NA
12,13,UNIVERSAL PIONEER,CB29,E Wilson,C S Shum,114,1166,8,8-3/4,1.26.40,18,11,NA,NA,NA,NA,NA
13,5,NAMJONG SKY,H129,E Saint-Martin,D J Hall,128,1167,10,9-1/4,1.26.50,10,2,NA,NA,NA,NA,NA
14,3,EXCELLENT PLASTIC,H263,C W Wong,C H Yip,124,1038,11,ML,---,77,8,NA,NA,NA,NA,NA
1,2,ISTIDE,J089,E Saint-Martin,C S Shum,124,950,12,-,1.24.50,3.4,2,NA,NA,NA,NA,NA
2,1,BRILLIANT TREASURE,H045,F Coetzee,J Size,124,1209,7,1-1/2,1.24.70,14,6,NA,NA,NA,NA,NA
3,14,FANTASTIC TIME,H220,K L Chui,B K Ng,111,1035,5,2,1.24.80,14,4,NA,NA,NA,NA,NA
4,7,A MIRROR,H011,P H Lo,D Cruz,114,1122,9,2-1/4,1.24.80,14,NA,NA,NA,NA,NA,NA
5,6,ZEPHYRUS,H285,C Soumillon,A T Millard,122,1084,13,3-1/4,1.25.00,6.6,9,NA,NA,NA,NA,NA
6,13,SUNNY GOLF,H138,D Beadman,J Moore,118,1097,4,3-1/2,1.25.10,4.2,5,NA,NA,NA,NA,NA
7,11,REAL PLEASURE,J021,G Mosse,A Lee,120,1196,6,3-3/4,1.25.10,8.2,8,NA,NA,NA,NA,NA
8,9,LITTLE BIG BOY,J012,Z Purton,D E Ferraris,120,1120,8,6-3/4,1.25.60,82,10,NA,NA,NA,NA,NA
9,12,TREMENDOUS PLUS,G275,S K Sit,C W Chang,118,1135,10,8-1/2,1.25.80,39,12,NA,NA,NA,NA,NA
10,4,MAJESTIC HEART,H319,H W Lai,K L Man,119,1033,3,10-3/4,1.26.20,81,12,NA,NA,NA,NA,NA
11,8,PEARL OF INDIA,CD29,O Doleuze,A Schutz,121,1271,1,11-1/4,1.26.30,14,NA,NA,NA,NA,NA,NA
12,10,OPERA MAGIC,CB40,C W Wong,C H Yip,115,1195,11,12,1.26.40,22,NA,NA,NA,NA,NA,NA
13,3,FIRST KNIGHT,CB35,M W Leung,S Woods,117,1227,2,19-1/4,1.27.60,22,7,NA,NA,NA,NA,NA
WV,5,WINNING PAL,J138,K L Chui,A S Cruz,117,1128,---,---,---,---,NA,NA,NA,NA,NA,NA
1,2,BULLISH LUCK,CC15,C Soumillon,A S Cruz,123,1249,8,-,1.48.90,9.2,8,NA,NA,NA,NA,NA
2,3,VITAL KING,G222,B Prebble,P O'Sullivan,123,1134,4,3,1.49.40,10,7,NA,NA,NA,NA,NA
3,5,VIVA MACAU,H110,D Beadman,J Moore,119,1174,1,4-1/4,1.49.60,2.8,5,NA,NA,NA,NA,NA
4,6,PACKING WINNER,E334,F Coetzee,L Ho,116,1098,9,4-1/2,1.49.60,2.7,6,NA,NA,NA,NA,NA
5,4,SIR ERNESTO,G051,O Doleuze,D Cruz,121,1182,7,8,1.50.20,30,NA,NA,NA,NA,NA,NA
6,7,SYLLABUS,CD38,E Wilson,D E Ferraris,113,1151,2,9,1.50.40,13,3,NA,NA,NA,NA,NA
7,9,TOP HONOR,E183,H W Lai,A Lee,110,1029,3,12-3/4,1.51.00,25,2,NA,NA,NA,NA,NA
8,8,FAMOUS DANCER,CD35,C W Wong,J Moore,108,1091,5,13,1.51.00,67,9,NA,NA,NA,NA,NA
PU,1,VENGEANCE OF RAIN,CD14,A Delpech,D E Ferraris,133,1213,6,-,---,7.7,NA,NA,NA,NA,NA,NA
